geoid,metcode2,share_evac_morg,share_evac_asec,kat_affected,treat,treat_expanded,control
10420,8,0,0,0,0,0,1
10500,12,,0,0,,,
10580,16,0,0,0,0,0,1
10740,20,.0012834417,.0024160964,0,0,0,0
10900,24,0,0,0,0,0,1
11020,28,,0,0,,,
11100,32,,0,0,,,
11260,38,,,0,,,
11460,44,,0,0,,,
11500,45,,0,0,,,
11540,46,0,0,0,0,0,1
36780,46,0,0,0,0,0,1
11700,48,,0,0,,,
12020,50,,0,0,,,
12060,52,.0010911773,.0017077543,0,0,0,0
12100,56,,0,0,,,
12260,60,.0035482734,.014599974,0,0,0,0
12420,64,.0039620479,0,0,0,,
12540,68,0,0,0,0,0,1
12580,72,0,0,0,0,0,1
12940,76,.034231644,.066086128,1,0,0,0
13140,84,,0,0,,,
13380,86,,0,0,,,
35660,87,,0,0,,,
13740,88,0,0,0,0,0,1
13460,90,,0,0,,,
25060,92,,.28485492,1,,,
13780,96,,.02331694,0,,,
13820,100,.0027264478,0,0,0,0,
14020,102,,0,0,,,
14260,108,0,0,0,0,0,1
14540,113,,0,0,,,
14740,115,,0,0,,,
15180,124,,0,0,,,
15380,128,.0024246734,.0034659239,0,0,0,0
15940,132,,0,0,,,
16300,136,0,0,0,0,0,1
16580,140,,0,0,,,
16700,144,0,0,0,0,0,1
16620,148,0,0,0,0,0,1
16740,152,0,0,0,0,0,1
16860,156,0,0,0,0,0,1
16980,160,.00069198245,.00077111844,0,0,0,0
17020,162,,0,0,,,
17140,164,.001684331,.0027419629,0,0,0,0
17300,166,,,0,,,
17460,168,0,0,0,0,0,1
17660,170,,0,0,,,
17820,172,0,0,0,0,0,1
17860,174,,0,0,,,
17900,176,0,0,0,0,0,1
17980,180,,0,0,,,
18140,184,0,0,0,0,0,1
18580,188,,0,0,,,
19100,192,.004739081,.0096901124,0,,1,0
19340,196,0,0,0,0,0,1
44220,200,.0039970158,.013230626,0,0,,0
19380,200,.0039970158,.013230626,0,0,,0
19660,202,,0,0,,,
19460,203,,0,0,,,
19500,204,,0,0,,,
19740,208,0,0,0,0,0,1
14500,208,0,0,0,0,0,1
19780,212,0,0,0,0,0,1
19820,216,0,.0022946992,0,0,0,
20100,219,0,0,0,0,0,1
20260,224,,0,0,,,
20740,229,,0,0,,,
20940,230,,0,0,,,
21340,231,0,0,0,0,0,1
21500,236,,0,0,,,
21660,240,.0048467917,0,0,0,0,
21780,244,,0,0,,,
22020,252,0,0,0,0,0,1
22140,254,,0,0,,,
22180,256,,0,0,,,
22220,258,.0086711524,.021818843,0,,1,0
22420,264,,0,0,,,
22660,267,.0076172301,.020033643,0,0,,0
15980,270,,0,0,,,
38940,271,,0,0,,,
22900,272,,0,0,,,
23060,276,,0,0,,,
23420,284,0,0,0,0,0,1
23540,290,,0,0,,,
24340,300,0,0,0,0,0,1
24540,306,0,0,0,0,0,1
24580,308,0,0,0,0,0,1
24660,312,0,0,0,0,0,1
49180,312,0,0,0,0,0,1
24780,315,,,0,,,
43900,316,0,0,0,0,0,1
24860,316,0,0,0,0,0,1
25180,318,,0,0,,,
25420,324,0,0,0,0,0,1
25500,326,,0,0,,,
25860,329,,0,0,,,
26380,335,,,1,,,
26420,336,.018915894,.021975067,0,1,1,0
26580,340,,0,0,,,
26620,344,,0,0,,,
26900,348,0,0,0,0,0,1
26980,350,,0,0,,,
27100,352,,0,0,,,
27140,356,.0045889979,.0033532572,0,0,0,0
27260,359,.0016998501,.0093685761,0,0,,0
27340,360,,0,0,,,
27500,362,,0,0,,,
27740,366,,0,0,,,
28700,366,,0,0,,,
27780,368,,0,0,,,
27900,371,,0,0,,,
28020,372,,0,0,,,
28100,374,,0,0,,,
28140,376,.0029131433,.0025568618,0,0,,0
28660,381,,0,0,,,
28740,383,,0,0,,,
28940,384,,0,0,,,
29100,387,,0,0,,,
29180,388,.0074896114,0,1,0,0,0
29340,396,,.065696619,1,,,
29460,398,,0,0,,,
29540,400,,0,0,,,
29620,404,,0,0,,,
29700,408,,0,0,,,
29740,410,,0,0,,,
29820,413,.0029630037,.0065173693,0,0,1,0
29940,415,,0,0,,,
30020,420,,0,0,,,
30460,428,0,0,0,0,0,1
30700,436,,,0,,,
30780,440,0,0,0,0,0,1
30980,442,,0,0,,,
31140,452,.0016389498,.0023145515,0,0,0,0
31180,460,,0,0,,,
31340,464,,0,0,,,
31420,468,,0,0,,,
47580,468,,0,0,,,
31460,470,,0,0,,,
31540,472,0,0,0,0,0,1
32580,488,0,0,0,0,0,1
32780,489,,0,0,,,
37340,490,.0034241092,.0067210863,0,0,0,0
32820,492,.0096115796,.0081782136,0,0,1,0
32900,494,,0,0,,,
33100,500,.0040565706,.0035284909,1,0,0,0
33140,502,,0,0,,,
33340,508,0,0,0,0,0,1
33460,512,0,0,0,0,0,1
33660,516,,.028026486,1,,,
33700,517,0,0,0,0,0,1
33740,520,,0,0,,,
33780,522,,0,0,,,
33860,524,,0,0,,,
34740,532,,0,0,,,
34820,533,,0,0,,,
34940,534,,.011067054,1,,,
34980,536,0,0,0,0,0,1
35380,556,.47551849,.53590262,1,0,0,0
35620,560,0,.0004616557,0,0,0,
47260,572,.0010403342,.0035180987,0,0,0,0
36100,579,,0,0,,,
33260,580,,0,0,,,
36140,584,,0,0,,,
36420,588,0,0,0,0,0,1
36500,591,,0,0,,,
36540,592,0,0,0,0,0,1
36740,596,.0010545973,0,0,0,0,
37460,601,,0,1,,,
37860,608,,.023911042,1,,,
37900,612,,0,0,,,
37980,616,0,0,0,0,0,1
38060,620,0,0,0,0,0,1
38300,628,0,0,0,0,0,1
38900,644,.0019777394,.0016585975,0,0,0,0
39140,647,,0,0,,,
39340,652,0,0,0,0,0,1
39380,656,,0,0,,,
39460,658,,.076150425,0,,,
39540,660,,0,0,,,
20500,664,0,0,0,0,0,1
39580,664,0,0,0,0,0,1
39740,668,,0,0,,,
39900,672,0,0,0,0,0,1
40060,676,.0016920598,0,0,0,0,
40140,678,.0012154902,.0019252808,0,0,0,0
40220,680,,0,0,,,
40380,684,0,0,0,0,0,1
40420,688,,0,0,,,
40900,692,0,0,0,0,0,1
40980,696,,0,0,,,
41060,698,,0,0,,,
41180,704,0,0,0,0,0,1
41420,708,0,0,0,0,0,1
41500,712,,0,0,,,
41540,713,,0,0,,,
36260,716,0,0,0,0,0,1
41620,716,0,0,0,0,0,1
41700,724,0,0,0,0,0,1
41740,732,0,0,0,0,0,1
34900,736,0,.0012566989,0,0,0,
46700,736,0,.0012566989,0,0,0,
41860,736,0,.0012566989,0,0,0,
41940,740,.003177542,.0073116305,0,0,,0
42020,746,,0,0,,,
42100,748,,0,0,,,
42140,749,,0,0,,,
42220,750,,0,0,,,
42340,752,0,0,0,0,0,1
42540,756,0,0,0,0,0,1
42660,760,.00069221231,0,0,0,0,
43340,768,,0,0,,,
43620,776,0,0,0,0,0,1
43780,780,,0,0,,,
44060,784,0,0,0,0,0,1
44100,788,,0,0,,,
44180,792,,0,0,,,
44700,812,0,0,0,0,0,1
45060,816,0,0,0,0,0,1
45220,824,,0,0,,,
45300,828,.00066978892,.0007612324,0,0,0,0
45780,840,0,0,0,0,0,1
45820,844,0,0,0,0,0,1
45940,848,,0,0,,,
46060,852,0,0,0,0,0,1
46140,856,0,.0028286765,0,0,0,
46220,860,,0,0,,,
46540,868,,0,0,,,
46660,870,,0,0,,,
37100,873,0,0,0,0,0,1
47020,875,0,0,0,0,0,1
47220,876,,0,0,,,
47300,878,,0,0,,,
47380,880,,0,0,,,
47900,884,.00027522974,.00053113524,0,0,0,0
47940,892,,0,0,,,
48140,894,,0,0,,,
48540,900,,,0,,,
48620,904,.0019117487,0,0,0,0,
48900,920,,,0,,,
49420,926,,0,0,,,
49620,928,,0,0,,,
49660,932,,0,0,,,
49700,934,,,0,,,
49740,936,,,0,,,
,40,,0,0,,,
,73,0,0,0,0,0,1
,74,,0,0,,,
,104,,0,0,,,
,112,.000068188448,.000095826697,0,0,0,0
,116,0,0,0,0,0,1
,120,,,0,,,
,131,0,0,0,0,0,1
,193,,0,0,,,
,228,,,0,,,
,260,,0,0,,,
,265,,0,0,,,
,268,,,1,,,
,275,,.016119584,1,,,
,292,,,0,,,
,320,,,0,,,
,328,0,0,0,0,0,1
,332,0,0,0,0,0,1
,361,,,0,,,
,448,.00014588716,.00069453532,0,0,0,0
,476,,,0,,,
,519,,,0,,,
,535,,,0,,,
,540,,,0,,,
,548,0,0,0,0,0,1
,552,0,0,0,0,0,1
,566,,,0,,,
,640,.00088630314,0,0,0,0,
,645,0,0,0,0,0,1
,646,0,0,0,0,0,1
,648,0,0,0,0,0,1
,747,,0,0,,,
,751,.0026946368,0,0,0,0,
,800,0,0,0,0,0,1
,804,,,0,,,
,820,,,0,,,
,874,,0,0,,,
,888,,0,0,,,
,896,,,1,,,
,916,,,0,,,
,924,,0,0,,,
,927,,,0,,,
,,,,,,,
